pl_name,hostname,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,disc_year,pl_orbeccen,st_mass,st_rad,st_age,st_teff,st_spectype,sy_dist
WASP-39 b,WASP-39,4.0552947,0.04859,1.27,0.275,2011,<0.048,0.93,0.895,9.0,5400,G8,215.4
WASP-96 b,WASP-96,3.4252602,0.0454,1.2,0.49,2013,<0.11,1.06,1.05,9.4,5540,G8,350.0
K2-18 b,K2-18,32.94488,0.1591,0.24185922026942636,0.027155443675267465,2015,0.09,0.495,0.469,3.0,3645,M2.8,38.1
HD 209458 b,HD 209458,3.52474859,0.04707,1.359,0.682,1999,<0.0081,1.148,1.203,3.5,6071,F9V/G0V,48.15
WASP-6 b,WASP-6,3.36100239,0.04217,1.224,0.483,2008,<0.07,0.88,0.87,11.0,5450,G8V,199.7
